id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,montant_total,mois,année,jour_semaine,catégorie,marque,prix,stock_minimum,nom_fournisseur,ville,pays,fiabilité,délai_moyen_jours,niveau_stock,entrepot
PO000065,2024-09-22,P00925,200,S008,158.22,2,31644.0,9,2024,6,Maquillage,Héritage Sensuel,88.28,20,Gaillard S.A.,Berlin,Allemagne,0.64,7,189,Marseille
PO000066,2024-11-05,P00750,25,S028,170.04,10,4251.0,11,2024,1,Maquillage,Héritage Sensuel,252.1,58,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,10,Paris
PO000067,2024-05-25,P00551,25,S029,24.7,6,617.5,5,2024,5,Maquillage,Clarté Botanique,186.05,23,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,31,Paris
PO000068,2024-05-07,P00294,10,S028,26.01,6,260.1,5,2024,1,Soins capillaires,Reflet d'or,131.2,77,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,26,Lyon
PO000069,2024-02-14,P00786,500,S050,166.51,9,83255.0,2,2024,2,Soins de la peau,Cosmétika,207.63,36,Carlier SA,Bruxelles,Belgique,0.64,11,57,Lyon
PO000070,2024-08-11,P00802,25,S002,114.27,3,2856.75,8,2024,6,Maquillage,Atelier Minéral,58.12,94,Morvan,Paris,France,0.86,9,184,Paris
PO000071,2024-10-06,P00321,50,S012,184.46,5,9223.0,10,2024,6,Parfums,Luxe eclat,63.91,46,Lucas,Stockholm,Suède,1.0,11,208,Paris
PO000072,2024-06-24,P00079,50,S035,257.36,14,12868.0,6,2024,0,Soins capillaires,Reflet d'or,32.19,22,Laine,Lisbonne,Portugal,0.9,7,12,Paris
PO000073,2024-06-11,P00488,10,S029,159.6,12,1596.0,6,2024,1,Maquillage,Essentielle Paris,24.69,99,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,100,Paris
PO000074,2024-07-12,P00168,50,S048,274.16,11,13708.000000000002,7,2024,4,Maquillage,Essentielle Paris,206.86,13,Lecomte,Amsterdam,Pays-Bas,0.65,4,61,Paris
PO000075,2024-10-21,P00749,10,S026,193.36,3,1933.6,10,2024,0,Soins de la peau,Ãveil Ãlégant,482.2,96,Bourdon,Bruxelles,Belgique,0.81,6,187,Paris
PO000076,2024-09-25,P00054,50,S029,29.64,2,1482.0,9,2024,2,Accessoires,Reflet d'or,305.78,24,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,213,Paris
PO000077,2024-12-30,P00603,300,S006,270.37,12,81111.0,12,2024,0,Accessoires,Silhouette Paris,316.23,17,Jean,Zurich,Suisse,0.68,8,249,Paris
PO000078,2024-04-02,P00536,100,S002,168.43,5,16843.0,4,2024,1,Accessoires,Cosmétika,365.22,62,Morvan,Paris,France,0.86,9,45,Paris
PO000079,2024-09-21,P00325,100,S045,28.0,5,2800.0,9,2024,5,Soins de la peau,Elixir Haute Beauté,446.6,98,Lagarde,Berlin,Allemagne,0.53,4,225,Paris
PO000080,2024-10-24,P00752,75,S028,24.54,12,1840.5,10,2024,3,Soins capillaires,Atelier Minéral,284.11,93,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,102,Lyon
PO000081,2024-02-25,P00419,150,S008,287.52,10,43128.0,2,2024,6,Accessoires,Reflet d'or,352.97,56,Gaillard S.A.,Berlin,Allemagne,0.64,7,185,Paris
PO000082,2024-02-18,P00931,200,S019,250.25,13,50050.0,2,2024,6,Parfums,Maison Vitalis,264.52,28,Leduc,Oslo,Norvège,0.87,11,206,Paris
PO000083,2024-09-13,P00234,300,S029,196.41,9,58923.0,9,2024,4,Soins capillaires,Reflet d'or,417.88,90,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,163,Lyon
PO000084,2024-11-07,P00325,10,S029,171.05,3,1710.5,11,2024,3,Soins de la peau,Elixir Haute Beauté,446.6,98,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,225,Paris
PO000085,2024-09-29,P00591,200,S028,109.0,4,21800.0,9,2024,6,Soins de la peau,Déesse Cosmétique,391.27,73,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,120,Paris
PO000086,2024-11-06,P00876,25,S028,108.17,2,2704.25,11,2024,2,Soins capillaires,Clarté Botanique,441.43,35,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,292,Paris
PO000087,2024-08-04,P00178,50,S012,250.29,11,12514.5,8,2024,6,Soins de la peau,Essentielle Paris,123.17,97,Lucas,Stockholm,Suède,1.0,11,240,Lyon
PO000088,2024-11-25,P00983,50,S029,58.03,8,2901.5,11,2024,0,Soins capillaires,Ãpure d'Azur,142.24,82,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,246,Paris
PO000089,2024-10-30,P00646,100,S002,270.17,2,27017.0,10,2024,2,Parfums,Aura Cristal,65.07,61,Morvan,Paris,France,0.86,9,203,Paris
PO000090,2024-10-07,P00823,75,S029,255.78,3,19183.5,10,2024,0,Parfums,Velours Naturel,287.74,53,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,101,Paris
PO000091,2024-07-15,P00080,25,S028,49.41,8,1235.25,7,2024,0,Soins capillaires,Elixir Haute Beauté,94.95,30,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,298,Paris
PO000092,2024-10-05,P00029,150,S012,18.93,7,2839.5,10,2024,5,Soins capillaires,Reflet d'or,277.95,82,Lucas,Stockholm,Suède,1.0,11,268,Paris
PO000093,2024-12-19,P00361,50,S008,35.81,2,1790.5,12,2024,3,Soins capillaires,Luxe eclat,96.13,48,Gaillard S.A.,Berlin,Allemagne,0.64,7,215,Lyon
PO000094,2024-12-25,P00890,10,S029,60.48,4,604.8,12,2024,2,Soins capillaires,LâAtelier du Teint,433.77,96,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,43,Lyon
PO000095,2024-04-02,P00240,50,S029,285.53,7,14276.499999999998,4,2024,1,Accessoires,Elixir Haute Beauté,354.22,35,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,2,Marseille
PO000096,2024-02-02,P00070,75,S010,143.3,3,10747.5,2,2024,4,Soins capillaires,Elixir Haute Beauté,288.63,60,Pelletier,Paris,France,0.98,3,198,Paris
PO000097,2024-04-19,P00259,10,S028,156.89,8,1568.9,4,2024,4,Parfums,Reflet d'or,499.01,50,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,51,Lyon
PO000098,2024-09-02,P00428,25,S028,50.72,3,1268.0,9,2024,0,Accessoires,Essentielle Paris,472.94,11,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,92,Marseille
PO000099,2024-09-27,P00557,500,S034,248.05,5,124025.0,9,2024,4,Maquillage,Aroma Sublime,230.54,87,Bertrand S.A.,Varsovie,Pologne,0.56,6,222,Paris
PO000100,2024-12-04,P00515,200,S029,81.06,13,16212.0,12,2024,2,Soins capillaires,LâAtelier du Teint,58.46,49,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,81,Paris
PO000101,2024-02-19,P00901,25,S028,49.7,8,1242.5,2,2024,0,Maquillage,Clarté Botanique,32.39,77,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,45,Paris
PO000102,2024-09-06,P00054,75,S028,78.34,13,5875.5,9,2024,4,Accessoires,Reflet d'or,305.78,24,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,213,Paris
PO000103,2024-08-29,P00892,50,S029,188.95,14,9447.5,8,2024,3,Accessoires,Secret de Peau,253.79,77,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,169,Paris
PO000104,2024-07-03,P00755,75,S010,293.27,8,21995.25,7,2024,2,Maquillage,Les Essences Rares,476.67,75,Pelletier,Paris,France,0.98,3,51,Marseille
PO000105,2024-07-05,P00793,75,S008,209.08,6,15681.000000000002,7,2024,4,Soins capillaires,Rose & Lin,225.54,90,Gaillard S.A.,Berlin,Allemagne,0.64,7,194,Marseille
PO000106,2024-01-19,P00090,10,S008,216.95,8,2169.5,1,2024,4,Maquillage,Elixir Haute Beauté,105.7,38,Gaillard S.A.,Berlin,Allemagne,0.64,7,124,Marseille
PO000107,2024-08-21,P00569,50,S028,133.75,13,6687.5,8,2024,2,Soins capillaires,Le Bain Royal,371.89,12,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,7,Lyon
PO000108,2024-03-09,P00988,25,S037,83.73,13,2093.25,3,2024,5,Soins capillaires,Beauté Origine,325.86,81,Charles SARL,Helsinki,Finlande,0.54,8,61,Paris
PO000109,2024-12-15,P00376,75,S028,21.16,7,1587.0,12,2024,6,Maquillage,Luxe eclat,490.97,30,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,102,Paris
PO000110,2024-10-19,P00975,200,S029,42.34,11,8468.0,10,2024,5,Soins capillaires,Héritage Sensuel,240.53,87,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,36,Paris
PO000111,2024-08-06,P00116,500,S032,132.66,14,66330.0,8,2024,1,Accessoires,Luxe eclat,148.67,48,Munoz SA,Dublin,Irlande,0.53,4,87,Lyon
PO000112,2024-07-12,P00501,300,S048,218.47,3,65541.0,7,2024,4,Soins capillaires,Clarté Botanique,100.39,66,Lecomte,Amsterdam,Pays-Bas,0.65,4,279,Paris
PO000113,2024-04-02,P00980,500,S029,204.11,8,102055.0,4,2024,1,Maquillage,Les Essences Rares,171.4,16,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,158,Paris
PO000114,2024-01-11,P00625,10,S029,286.49,3,2864.9,1,2024,3,Parfums,Héritage Sensuel,171.75,82,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,189,Lyon
PO000115,2024-12-24,P00483,100,S046,190.03,5,19003.0,12,2024,1,Parfums,Essentielle Paris,88.4,85,Roche,Rome,Italie,0.54,4,261,Paris
PO000116,2024-01-31,P00858,50,S048,141.45,13,7072.499999999999,1,2024,2,Soins capillaires,Ãpure d'Azur,192.87,78,Lecomte,Amsterdam,Pays-Bas,0.65,4,196,Paris
PO000117,2024-03-04,P00881,200,S029,261.2,7,52240.0,3,2024,0,Soins capillaires,Maison Vitalis,58.84,59,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,16,Lyon
PO000118,2024-06-21,P00484,150,S029,61.47,9,9220.5,6,2024,4,Accessoires,Reflet d'or,259.47,39,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,249,Marseille
PO000119,2024-01-15,P00994,50,S028,47.68,3,2384.0,1,2024,0,Parfums,Le Bain Royal,268.84,78,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,6,Lyon
PO000120,2024-04-30,P00517,75,S029,267.59,7,20069.25,4,2024,1,Parfums,Secret de Peau,282.84,56,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,140,Lyon
PO000121,2024-08-27,P00031,50,S028,166.83,4,8341.5,8,2024,1,Maquillage,Luxe eclat,186.25,88,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,30,Lyon
PO000122,2024-12-14,P00139,50,S008,121.04,10,6052.0,12,2024,5,Parfums,Reflet d'or,102.41,99,Gaillard S.A.,Berlin,Allemagne,0.64,7,109,Paris
PO000123,2024-10-02,P00313,500,S002,121.91,6,60955.0,10,2024,2,Parfums,Essentielle Paris,354.09,46,Morvan,Paris,France,0.86,9,193,Marseille
PO000124,2024-01-12,P00705,200,S028,69.53,2,13906.0,1,2024,4,Soins de la peau,Les Essences Rares,269.16,73,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,25,Lyon
PO000125,2024-02-29,P00367,25,S012,271.02,13,6775.5,2,2024,3,Soins capillaires,Maison Pure,180.86,69,Lucas,Stockholm,Suède,1.0,11,295,Marseille
PO000126,2024-12-21,P00368,50,S028,222.65,6,11132.5,12,2024,5,Maquillage,Essentielle Paris,376.88,68,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,117,Paris
PO000127,2024-08-20,P00254,25,S028,173.23,10,4330.75,8,2024,1,Maquillage,Reflet d'or,30.21,44,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,10,Lyon
PO000128,2024-05-19,P00334,500,S008,96.72,8,48360.0,5,2024,6,Accessoires,Reflet d'or,144.68,95,Gaillard S.A.,Berlin,Allemagne,0.64,7,166,Paris
PO000129,2024-11-07,P00683,200,S029,143.7,8,28740.0,11,2024,3,Parfums,Ãpure d'Azur,402.95,92,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,145,Lyon
PO000130,2024-10-27,P00752,75,S029,96.99,8,7274.25,10,2024,6,Soins capillaires,Atelier Minéral,284.11,93,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,102,Lyon
PO000131,2024-09-29,P00186,100,S026,91.26,5,9126.0,9,2024,6,Soins capillaires,Luxe eclat,390.04,91,Bourdon,Bruxelles,Belgique,0.81,6,28,Paris
PO000132,2024-01-12,P00504,100,S028,141.34,12,14134.0,1,2024,4,Maquillage,Natura Solaire,359.11,31,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,105,Marseille
PO000133,2024-04-29,P00632,25,S030,158.5,5,3962.5,4,2024,0,Soins de la peau,Aroma Sublime,476.87,74,Delaunay,Copenhague,Danemark,0.7,6,258,Paris
PO000134,2024-04-17,P00842,300,S010,272.12,13,81636.0,4,2024,2,Accessoires,Secret de Peau,93.16,65,Pelletier,Paris,France,0.98,3,107,Paris
PO000135,2024-08-15,P00574,75,S045,214.42,6,16081.499999999998,8,2024,3,Maquillage,Ãveil Ãlégant,134.02,93,Lagarde,Berlin,Allemagne,0.53,4,197,Lyon
PO000136,2024-09-27,P00054,10,S028,218.56,13,2185.6,9,2024,4,Accessoires,Reflet d'or,305.78,24,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,213,Paris
PO000137,2024-07-02,P00936,50,S028,217.57,9,10878.5,7,2024,1,Soins de la peau,Cosmétika,319.47,14,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,8,Paris
PO000138,2024-01-27,P00422,100,S010,285.47,8,28547.000000000004,1,2024,5,Soins capillaires,Maison Pure,346.64,91,Pelletier,Paris,France,0.98,3,224,Paris
PO000139,2024-09-08,P00350,50,S028,159.6,8,7980.0,9,2024,6,Accessoires,Elixir Haute Beauté,441.74,74,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,250,Paris
PO000140,2024-04-11,P00536,100,S046,296.72,12,29672.000000000004,4,2024,3,Accessoires,Cosmétika,365.22,62,Roche,Rome,Italie,0.54,4,45,Paris
PO000141,2024-07-09,P00667,200,S041,234.49,12,46898.0,7,2024,1,Accessoires,Secret de Peau,71.16,64,Lemaître De Sousa SA,Dublin,Irlande,0.54,10,91,Paris
PO000142,2024-01-06,P00302,150,S010,210.9,13,31635.0,1,2024,5,Accessoires,Maison Pure,109.49,84,Pelletier,Paris,France,0.98,3,53,Marseille
PO000143,2024-07-23,P00919,100,S008,91.43,6,9143.0,7,2024,1,Accessoires,Le Bain Royal,47.92,20,Gaillard S.A.,Berlin,Allemagne,0.64,7,198,Paris
PO000144,2024-07-24,P00078,75,S008,102.81,6,7710.75,7,2024,2,Soins capillaires,Essentielle Paris,216.19,30,Gaillard S.A.,Berlin,Allemagne,0.64,7,284,Marseille
PO000145,2024-05-14,P00454,50,S010,229.91,7,11495.5,5,2024,1,Accessoires,Reflet d'or,315.99,43,Pelletier,Paris,France,0.98,3,197,Paris
PO000146,2024-08-20,P00846,75,S029,242.64,13,18198.0,8,2024,1,Accessoires,Aura Cristal,424.18,29,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,177,Lyon
