id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,montant_total,mois,année,jour_semaine
PO000035,2024-09-28,P00492,25,S029,103.61,8,2590.25,9,2024,5
PO000036,2024-10-11,P00492,10,S028,109.27,4,1092.7,10,2024,4
PO000037,2024-06-23,P00712,10,S008,231.74,2,2317.4,6,2024,6
PO000038,2024-05-28,P00628,75,S028,225.36,2,16902.0,5,2024,1
PO000039,2024-07-27,P00067,50,S048,45.95,12,2297.5,7,2024,5
PO000040,2024-01-12,P00777,300,S012,188.66,2,56598.0,1,2024,4
PO000041,2024-06-01,P00178,25,S029,286.95,14,7173.75,6,2024,5
PO000042,2024-08-07,P00414,300,S012,247.82,14,74346.0,8,2024,2
PO000043,2024-01-20,P00720,10,S029,116.34,4,1163.4,1,2024,5
PO000044,2024-01-09,P00909,100,S007,85.54,13,8554.0,1,2024,1
PO000045,2024-07-13,P00751,25,S028,273.45,12,6836.25,7,2024,5
PO000046,2024-11-26,P00271,150,S048,223.16,7,33474.0,11,2024,1
PO000047,2024-05-28,P00118,10,S044,119.89,10,1198.9,5,2024,1
PO000048,2024-01-05,P00200,300,S028,289.17,2,86751.0,1,2024,4
PO000049,2024-10-21,P00449,10,S047,235.06,6,2350.6,10,2024,0
PO000050,2024-08-18,P00113,25,S029,125.22,7,3130.5,8,2024,6
PO000051,2024-05-13,P00708,75,S029,11.13,14,834.7500000000001,5,2024,0
PO000052,2024-05-07,P00241,150,S021,159.8,11,23970.0,5,2024,1
PO000053,2024-09-14,P00253,300,S010,153.8,10,46140.0,9,2024,5
PO000054,2024-12-02,P00559,50,S008,269.7,3,13485.0,12,2024,0
PO000055,2024-04-27,P00515,150,S002,272.78,8,40916.99999999999,4,2024,5
PO000056,2024-04-14,P00851,100,S029,57.93,7,5793.0,4,2024,6
PO000057,2024-11-26,P00895,75,S002,206.59,14,15494.25,11,2024,1
PO000058,2024-11-20,P00697,100,S012,154.65,6,15465.0,11,2024,2
PO000059,2024-03-15,P00697,10,S030,49.44,14,494.4,3,2024,4
PO000060,2024-06-06,P00640,50,S010,142.83,11,7141.500000000001,6,2024,3
PO000061,2024-12-27,P00707,150,S002,112.94,6,16941.0,12,2024,4
PO000062,2024-06-22,P00392,75,S045,296.7,8,22252.5,6,2024,5
PO000063,2024-02-29,P00170,200,S028,37.29,3,7458.0,2,2024,3
PO000064,2024-03-01,P00915,150,S012,127.07,10,19060.5,3,2024,4
PO000065,2024-09-22,P00925,200,S008,158.22,2,31644.0,9,2024,6
PO000066,2024-11-05,P00750,25,S028,170.04,10,4251.0,11,2024,1
PO000067,2024-05-25,P00551,25,S029,24.7,6,617.5,5,2024,5
PO000068,2024-05-07,P00294,10,S028,26.01,6,260.1,5,2024,1
PO000069,2024-02-14,P00786,500,S050,166.51,9,83255.0,2,2024,2
PO000070,2024-08-11,P00802,25,S002,114.27,3,2856.75,8,2024,6
PO000071,2024-10-06,P00321,50,S012,184.46,5,9223.0,10,2024,6
PO000072,2024-06-24,P00079,50,S035,257.36,14,12868.0,6,2024,0
PO000073,2024-06-11,P00488,10,S029,159.6,12,1596.0,6,2024,1
PO000074,2024-07-12,P00168,50,S048,274.16,11,13708.000000000002,7,2024,4
PO000075,2024-10-21,P00749,10,S026,193.36,3,1933.6000000000001,10,2024,0
PO000076,2024-09-25,P00054,50,S029,29.64,2,1482.0,9,2024,2
PO000077,2024-12-30,P00603,300,S006,270.37,12,81111.0,12,2024,0
PO000078,2024-04-02,P00536,100,S002,168.43,5,16843.0,4,2024,1
PO000079,2024-09-21,P00325,100,S045,28.0,5,2800.0,9,2024,5
PO000080,2024-10-24,P00752,75,S028,24.54,12,1840.5,10,2024,3
PO000081,2024-02-25,P00419,150,S008,287.52,10,43128.0,2,2024,6
PO000082,2024-02-18,P00931,200,S019,250.25,13,50050.0,2,2024,6
PO000083,2024-09-13,P00234,300,S029,196.41,9,58923.0,9,2024,4
PO000084,2024-11-07,P00325,10,S029,171.05,3,1710.5,11,2024,3
PO000085,2024-09-29,P00591,200,S028,109.0,4,21800.0,9,2024,6
PO000086,2024-11-06,P00876,25,S028,108.17,2,2704.25,11,2024,2
PO000087,2024-08-04,P00178,50,S012,250.29,11,12514.5,8,2024,6
PO000088,2024-11-25,P00983,50,S029,58.03,8,2901.5,11,2024,0
PO000089,2024-10-30,P00646,100,S002,270.17,2,27017.0,10,2024,2
PO000090,2024-10-07,P00823,75,S029,255.78,3,19183.5,10,2024,0
PO000091,2024-07-15,P00080,25,S028,49.41,8,1235.25,7,2024,0
PO000092,2024-10-05,P00029,150,S012,18.93,7,2839.5,10,2024,5
PO000093,2024-12-19,P00361,50,S008,35.81,2,1790.5,12,2024,3
PO000094,2024-12-25,P00890,10,S029,60.48,4,604.8,12,2024,2
PO000095,2024-04-02,P00240,50,S029,285.53,7,14276.499999999998,4,2024,1
PO000096,2024-02-02,P00070,75,S010,143.3,3,10747.5,2,2024,4
PO000097,2024-04-19,P00259,10,S028,156.89,8,1568.8999999999999,4,2024,4
PO000098,2024-09-02,P00428,25,S028,50.72,3,1268.0,9,2024,0
PO000099,2024-09-27,P00557,500,S034,248.05,5,124025.0,9,2024,4
PO000100,2024-12-04,P00515,200,S029,81.06,13,16212.0,12,2024,2
PO000101,2024-02-19,P00901,25,S028,49.7,8,1242.5,2,2024,0
PO000102,2024-09-06,P00054,75,S028,78.34,13,5875.5,9,2024,4
PO000103,2024-08-29,P00892,50,S029,188.95,14,9447.5,8,2024,3
PO000104,2024-07-03,P00755,75,S010,293.27,8,21995.25,7,2024,2
PO000105,2024-07-05,P00793,75,S008,209.08,6,15681.000000000002,7,2024,4
PO000106,2024-01-19,P00090,10,S008,216.95,8,2169.5,1,2024,4
PO000107,2024-08-21,P00569,50,S028,133.75,13,6687.5,8,2024,2
PO000108,2024-03-09,P00988,25,S037,83.73,13,2093.25,3,2024,5
PO000109,2024-12-15,P00376,75,S028,21.16,7,1587.0,12,2024,6
PO000110,2024-10-19,P00975,200,S029,42.34,11,8468.0,10,2024,5
PO000111,2024-08-06,P00116,500,S032,132.66,14,66330.0,8,2024,1
PO000112,2024-07-12,P00501,300,S048,218.47,3,65541.0,7,2024,4
PO000113,2024-04-02,P00980,500,S029,204.11,8,102055.0,4,2024,1
PO000114,2024-01-11,P00625,10,S029,286.49,3,2864.9,1,2024,3
PO000115,2024-12-24,P00483,100,S046,190.03,5,19003.0,12,2024,1
PO000116,2024-01-31,P00858,50,S048,141.45,13,7072.499999999999,1,2024,2
PO000117,2024-03-04,P00881,200,S029,261.2,7,52240.0,3,2024,0
PO000118,2024-06-21,P00484,150,S029,61.47,9,9220.5,6,2024,4
PO000119,2024-01-15,P00994,50,S028,47.68,3,2384.0,1,2024,0
PO000120,2024-04-30,P00517,75,S029,267.59,7,20069.249999999996,4,2024,1
PO000121,2024-08-27,P00031,50,S028,166.83,4,8341.5,8,2024,1
PO000122,2024-12-14,P00139,50,S008,121.04,10,6052.0,12,2024,5
PO000123,2024-10-02,P00313,500,S002,121.91,6,60955.0,10,2024,2
PO000124,2024-01-12,P00705,200,S028,69.53,2,13906.0,1,2024,4
PO000125,2024-02-29,P00367,25,S012,271.02,13,6775.5,2,2024,3
PO000126,2024-12-21,P00368,50,S028,222.65,6,11132.5,12,2024,5
PO000127,2024-08-20,P00254,25,S028,173.23,10,4330.75,8,2024,1
PO000128,2024-05-19,P00334,500,S008,96.72,8,48360.0,5,2024,6
PO000129,2024-11-07,P00683,200,S029,143.7,8,28739.999999999996,11,2024,3
PO000130,2024-10-27,P00752,75,S029,96.99,8,7274.25,10,2024,6
PO000131,2024-09-29,P00186,100,S026,91.26,5,9126.0,9,2024,6
PO000132,2024-01-12,P00504,100,S028,141.34,12,14134.0,1,2024,4
PO000133,2024-04-29,P00632,25,S030,158.5,5,3962.5,4,2024,0
PO000134,2024-04-17,P00842,300,S010,272.12,13,81636.0,4,2024,2
PO000135,2024-08-15,P00574,75,S045,214.42,6,16081.499999999998,8,2024,3
PO000136,2024-09-27,P00054,10,S028,218.56,13,2185.6,9,2024,4
PO000137,2024-07-02,P00936,50,S028,217.57,9,10878.5,7,2024,1
PO000138,2024-01-27,P00422,100,S010,285.47,8,28547.000000000004,1,2024,5
PO000139,2024-09-08,P00350,50,S028,159.6,8,7980.0,9,2024,6
PO000140,2024-04-11,P00536,100,S046,296.72,12,29672.000000000004,4,2024,3
PO000141,2024-07-09,P00667,200,S041,234.49,12,46898.0,7,2024,1
PO000142,2024-01-06,P00302,150,S010,210.9,13,31635.0,1,2024,5
PO000143,2024-07-23,P00919,100,S008,91.43,6,9143.0,7,2024,1
PO000144,2024-07-24,P00078,75,S008,102.81,6,7710.75,7,2024,2
PO000145,2024-05-14,P00454,50,S010,229.91,7,11495.5,5,2024,1
PO000146,2024-08-20,P00846,75,S029,242.64,13,18198.0,8,2024,1
PO000147,2024-12-12,P00174,50,S048,77.58,5,3879.0,12,2024,3
PO000148,2024-09-17,P00598,300,S008,250.02,10,75006.0,9,2024,1
PO000149,2024-02-10,P00430,200,S028,201.25,9,40250.0,2,2024,5
PO000150,2024-09-28,P00508,25,S029,25.04,14,626.0,9,2024,5
PO000151,2024-08-12,P00711,150,S010,271.4,10,40710.0,8,2024,0
PO000152,2024-11-25,P00204,100,S028,181.21,7,18121.0,11,2024,0
PO000153,2024-09-19,P00176,500,S029,212.78,11,106390.0,9,2024,3
PO000154,2024-03-04,P00438,75,S028,103.69,8,7776.75,3,2024,0
PO000155,2024-10-30,P00689,100,S028,282.08,11,28208.0,10,2024,2
PO000156,2024-05-01,P00159,75,S032,158.9,2,11917.5,5,2024,2
PO000157,2024-06-21,P00584,10,S007,89.94,10,899.4,6,2024,4
PO000158,2024-05-23,P00066,10,S008,75.67,7,756.7,5,2024,3
PO000159,2024-01-08,P00683,25,S029,260.56,2,6514.0,1,2024,0
PO000160,2024-02-05,P00729,50,S046,35.81,3,1790.5,2,2024,0
PO000161,2024-06-01,P00595,50,S023,119.61,5,5980.5,6,2024,5
PO000162,2024-01-21,P00340,100,S029,40.16,11,4015.9999999999995,1,2024,6
PO000163,2024-12-06,P00338,100,S008,281.71,5,28170.999999999996,12,2024,4
PO000164,2024-10-23,P00094,500,S010,165.04,10,82520.0,10,2024,2
PO000165,2024-01-15,P00031,50,S008,182.48,14,9124.0,1,2024,0
PO000166,2024-04-02,P00343,300,S029,255.84,11,76752.0,4,2024,1
PO000167,2024-02-13,P00401,100,S046,92.63,5,9263.0,2,2024,1
PO000168,2024-09-09,P00597,75,S028,60.47,2,4535.25,9,2024,0
PO000169,2024-03-18,P00205,100,S028,137.0,14,13700.0,3,2024,0
PO000170,2024-10-13,P00420,100,S029,68.91,13,6891.0,10,2024,6
PO000171,2024-03-21,P00910,25,S028,196.6,13,4915.0,3,2024,3
PO000172,2024-01-10,P00604,150,S029,230.44,11,34566.0,1,2024,2
PO000173,2024-10-16,P00009,100,S028,87.82,5,8782.0,10,2024,2
PO000174,2024-02-17,P00857,500,S029,287.11,3,143555.0,2,2024,5
PO000175,2024-10-27,P00330,200,S028,229.39,5,45878.0,10,2024,6
PO000176,2024-12-26,P00273,100,S028,196.88,11,19688.0,12,2024,3
PO000177,2024-06-12,P00959,100,S028,187.65,7,18765.0,6,2024,2
PO000178,2024-11-23,P00335,300,S029,274.27,10,82281.0,11,2024,5
PO000179,2024-04-26,P00533,300,S028,214.41,8,64323.0,4,2024,4
PO000180,2024-08-29,P00708,150,S048,291.43,14,43714.5,8,2024,3
PO000181,2024-11-30,P00625,150,S012,64.11,3,9616.5,11,2024,5
PO000182,2024-05-04,P00793,25,S046,83.3,3,2082.5,5,2024,5
PO000183,2024-11-12,P00489,150,S010,244.85,14,36727.5,11,2024,1
PO000184,2024-04-18,P00152,50,S029,36.58,2,1829.0,4,2024,3
PO000185,2024-07-20,P00571,75,S010,294.08,12,22056.0,7,2024,5
PO000186,2024-03-23,P00588,50,S008,122.25,14,6112.5,3,2024,5
PO000187,2024-01-20,P00050,50,S012,93.63,10,4681.5,1,2024,5
PO000188,2024-12-08,P00757,50,S029,45.95,5,2297.5,12,2024,6
PO000189,2024-07-08,P00959,200,S008,90.62,6,18124.0,7,2024,0
PO000190,2024-05-18,P00316,150,S046,126.84,12,19026.0,5,2024,5
PO000191,2024-05-26,P00411,75,S029,11.14,14,835.5,5,2024,6
PO000192,2024-12-14,P00499,100,S017,198.47,7,19847.0,12,2024,5
PO000193,2024-01-18,P00800,500,S021,279.38,3,139690.0,1,2024,3
PO000194,2024-12-08,P00884,50,S029,177.52,3,8876.0,12,2024,6
PO000195,2024-05-24,P00105,75,S028,21.41,9,1605.75,5,2024,4
PO000196,2024-07-08,P00306,75,S012,120.66,8,9049.5,7,2024,0
PO000197,2024-08-05,P00077,300,S028,247.84,13,74352.0,8,2024,0
PO000198,2024-02-17,P00122,50,S046,61.96,5,3098.0,2,2024,5
PO000199,2024-01-06,P00101,500,S002,192.72,13,96360.0,1,2024,5
PO000200,2024-06-26,P00549,50,S008,134.22,6,6711.0,6,2024,2
PO000201,2024-10-19,P00219,25,S029,56.83,8,1420.75,10,2024,5
PO000202,2024-01-10,P00767,25,S008,127.35,4,3183.75,1,2024,2
PO000203,2024-01-02,P00371,50,S029,104.61,11,5230.5,1,2024,1
PO000204,2024-03-16,P00406,100,S010,266.37,9,26637.0,3,2024,5
PO000205,2024-06-10,P00211,75,S008,30.16,12,2262.0,6,2024,0
PO000206,2024-04-02,P00244,50,S028,107.86,10,5393.0,4,2024,1
PO000207,2024-06-21,P00048,75,S048,250.77,14,18807.75,6,2024,4
PO000208,2024-09-30,P00088,150,S008,110.1,2,16515.0,9,2024,0
PO000209,2024-07-03,P00674,150,S008,144.71,6,21706.5,7,2024,2
PO000210,2024-04-11,P00272,100,S028,112.08,3,11208.0,4,2024,3
PO000211,2024-04-30,P00720,300,S029,24.22,5,7266.0,4,2024,1
PO000212,2024-03-15,P00949,75,S010,99.56,12,7467.0,3,2024,4
PO000213,2024-01-03,P00072,10,S016,271.88,8,2718.8,1,2024,2
PO000214,2024-07-17,P00659,50,S008,134.42,10,6720.999999999999,7,2024,2
PO000215,2024-10-12,P00770,50,S028,135.54,9,6777.0,10,2024,5
PO000216,2024-04-24,P00066,75,S046,289.78,4,21733.499999999996,4,2024,2
PO000217,2024-12-22,P00164,200,S028,299.96,4,59991.99999999999,12,2024,6
PO000218,2024-04-17,P00963,150,S029,280.09,7,42013.49999999999,4,2024,2
PO000219,2024-09-18,P00052,25,S028,183.88,7,4597.0,9,2024,2
PO000220,2024-03-25,P00636,75,S029,202.26,8,15169.5,3,2024,0
PO000221,2024-04-13,P00985,100,S027,227.58,4,22758.0,4,2024,5
PO000222,2024-10-26,P00128,500,S010,15.45,3,7725.0,10,2024,5
PO000223,2024-08-02,P00820,10,S018,202.64,2,2026.3999999999999,8,2024,4
PO000224,2024-06-18,P00430,75,S028,219.94,9,16495.5,6,2024,1
PO000225,2024-11-27,P00621,500,S008,170.38,3,85190.0,11,2024,2
PO000226,2024-01-23,P00766,500,S028,263.61,12,131805.0,1,2024,1
PO000227,2024-04-03,P00533,50,S012,235.43,10,11771.5,4,2024,2
PO000228,2024-06-29,P00377,10,S028,268.02,6,2680.2,6,2024,5
PO000229,2024-05-30,P00692,75,S008,280.08,3,21006.0,5,2024,3
PO000230,2024-08-03,P00878,200,S028,150.6,10,30120.0,8,2024,5
PO000231,2024-10-31,P00472,50,S010,178.43,4,8921.5,10,2024,3
PO000232,2024-09-22,P00010,300,S028,63.98,13,19194.0,9,2024,6
PO000233,2024-11-29,P00499,50,S010,217.83,12,10891.5,11,2024,4
PO000234,2024-11-12,P00071,100,S012,146.1,8,14610.0,11,2024,1
PO000235,2024-05-18,P00366,100,S028,188.17,6,18817.0,5,2024,5
PO000236,2024-11-06,P00924,50,S022,201.26,12,10063.0,11,2024,2
PO000237,2024-02-16,P00191,50,S008,84.24,11,4212.0,2,2024,4
PO000238,2024-05-23,P00202,75,S029,278.12,13,20859.0,5,2024,3
PO000239,2024-04-23,P00985,150,S002,57.3,3,8595.0,4,2024,1
PO000240,2024-04-05,P00789,25,S029,242.12,7,6053.0,4,2024,4
PO000241,2024-06-27,P00600,100,S028,293.04,4,29304.000000000004,6,2024,3
PO000242,2024-01-26,P00936,100,S029,18.38,2,1838.0,1,2024,4
PO000243,2024-03-15,P00579,75,S008,81.09,14,6081.75,3,2024,4
PO000244,2024-02-02,P00717,300,S048,247.85,14,74355.0,2,2024,4
PO000245,2024-01-25,P00558,100,S048,40.26,9,4026.0,1,2024,3
PO000246,2024-12-06,P00155,100,S028,48.65,2,4865.0,12,2024,4
PO000247,2024-05-20,P00632,75,S028,109.39,11,8204.25,5,2024,0
PO000248,2024-01-14,P00403,100,S029,11.82,4,1182.0,1,2024,6
PO000249,2024-05-25,P00395,25,S028,91.89,2,2297.25,5,2024,5
PO000250,2024-05-27,P00468,200,S029,280.59,13,56117.99999999999,5,2024,0
PO000251,2024-07-18,P00387,10,S010,212.52,14,2125.2000000000003,7,2024,3
PO000252,2024-06-13,P00041,100,S010,246.91,11,24691.0,6,2024,3
PO000253,2024-10-19,P00151,100,S029,87.15,5,8715.0,10,2024,5
PO000254,2024-06-20,P00520,25,S046,183.61,14,4590.25,6,2024,3
PO000255,2024-08-20,P00956,10,S029,240.43,8,2404.3,8,2024,1
PO000256,2024-03-28,P00985,25,S029,199.91,8,4997.75,3,2024,3
PO000257,2024-11-25,P00558,50,S002,182.85,12,9142.5,11,2024,0
PO000258,2024-07-18,P00997,200,S008,278.35,11,55670.00000000001,7,2024,3
PO000259,2024-10-04,P00873,200,S012,90.05,3,18010.0,10,2024,4
PO000260,2024-09-05,P00327,10,S029,54.9,13,549.0,9,2024,3
PO000261,2024-12-17,P00470,50,S029,105.74,10,5287.0,12,2024,1
PO000262,2024-09-05,P00010,200,S029,105.78,2,21156.0,9,2024,3
PO000263,2024-01-15,P00064,25,S029,146.49,2,3662.25,1,2024,0
PO000264,2024-06-25,P00016,500,S010,239.56,9,119780.0,6,2024,1
PO000265,2024-10-13,P00905,50,S028,26.98,7,1349.0,10,2024,6
PO000266,2024-06-21,P00030,100,S028,293.54,14,29354.000000000004,6,2024,4
PO000267,2024-09-24,P00460,50,S046,265.01,4,13250.5,9,2024,1
PO000268,2024-06-13,P00524,25,S028,66.52,2,1663.0,6,2024,3
PO000269,2024-04-03,P00157,50,S029,180.47,9,9023.5,4,2024,2
PO000270,2024-07-06,P00610,100,S028,234.8,9,23480.0,7,2024,5
PO000271,2024-06-05,P00396,50,S002,180.27,6,9013.5,6,2024,2
PO000272,2024-01-26,P00015,100,S029,266.3,10,26630.0,1,2024,4
PO000273,2024-07-10,P00997,25,S008,233.93,2,5848.25,7,2024,2
PO000274,2024-03-31,P00587,50,S029,231.97,5,11598.5,3,2024,6
PO000275,2024-06-21,P00301,75,S028,13.11,13,983.25,6,2024,4
PO000276,2024-09-19,P00214,50,S002,145.15,6,7257.5,9,2024,3
PO000277,2024-07-12,P00226,25,S048,67.39,7,1684.75,7,2024,4
PO000278,2024-06-01,P00207,75,S008,290.24,7,21768.0,6,2024,5
PO000279,2024-01-30,P00822,100,S007,183.2,8,18320.0,1,2024,1
PO000280,2024-04-24,P00840,300,S029,95.32,4,28595.999999999996,4,2024,2
PO000281,2024-10-15,P00953,150,S046,38.29,13,5743.5,10,2024,1
PO000282,2024-11-29,P00030,25,S029,21.8,2,545.0,11,2024,4
PO000283,2024-06-28,P00307,50,S008,191.79,7,9589.5,6,2024,4
PO000284,2024-06-09,P00732,10,S008,168.14,5,1681.3999999999999,6,2024,6
PO000285,2024-12-21,P00390,25,S029,148.02,4,3700.5000000000005,12,2024,5
PO000286,2024-09-02,P00232,50,S028,218.41,4,10920.5,9,2024,0
PO000287,2024-01-13,P00428,25,S029,149.41,11,3735.25,1,2024,5
PO000288,2024-06-01,P00369,25,S028,226.57,10,5664.25,6,2024,5
PO000289,2024-01-21,P00427,25,S028,97.49,6,2437.25,1,2024,6
PO000290,2024-03-01,P00375,50,S032,97.53,4,4876.5,3,2024,4
PO000291,2024-01-16,P00051,25,S029,66.95,14,1673.75,1,2024,1
PO000292,2024-11-15,P00925,50,S022,83.22,9,4161.0,11,2024,4
PO000293,2024-11-29,P00436,100,S002,44.65,13,4465.0,11,2024,4
PO000294,2024-03-16,P00997,25,S028,40.36,6,1009.0,3,2024,5
PO000295,2024-10-21,P00555,25,S028,134.36,4,3359.0000000000005,10,2024,0
PO000296,2024-12-19,P00160,10,S048,20.59,11,205.9,12,2024,3
PO000297,2024-12-21,P00966,75,S028,185.62,10,13921.5,12,2024,5
PO000298,2024-12-11,P00803,150,S028,94.54,2,14181.000000000002,12,2024,2
PO000299,2024-05-22,P00837,10,S048,272.4,14,2724.0,5,2024,2
PO000300,2024-10-31,P00125,75,S008,14.52,4,1089.0,10,2024,3
PO000301,2024-10-12,P00395,100,S029,264.78,5,26477.999999999996,10,2024,5
PO000302,2024-01-23,P00108,75,S028,251.68,8,18876.0,1,2024,1
PO000303,2024-04-02,P00997,200,S029,185.84,14,37168.0,4,2024,1
PO000304,2024-08-02,P00526,200,S028,107.14,5,21428.0,8,2024,4
PO000305,2024-07-03,P00982,10,S001,130.75,14,1307.5,7,2024,2
PO000306,2024-01-02,P00546,50,S028,249.8,11,12490.0,1,2024,1
PO000307,2024-12-15,P00443,100,S048,274.47,11,27447.000000000004,12,2024,6
PO000308,2024-09-14,P00748,300,S029,242.93,13,72879.0,9,2024,5
PO000309,2024-12-18,P00698,150,S008,136.18,14,20427.0,12,2024,2
PO000310,2024-09-12,P00198,25,S029,269.22,11,6730.500000000001,9,2024,3
PO000311,2024-12-22,P00193,50,S008,84.55,12,4227.5,12,2024,6
PO000312,2024-07-12,P00088,150,S008,12.69,4,1903.5,7,2024,4
PO000313,2024-12-27,P00359,75,S010,294.4,9,22080.0,12,2024,4
PO000314,2024-05-30,P00021,75,S029,47.96,13,3597.0,5,2024,3
PO000315,2024-04-18,P00482,100,S028,88.5,11,8850.0,4,2024,3
PO000316,2024-12-28,P00082,25,S028,32.43,3,810.75,12,2024,5
PO000317,2024-12-25,P00832,200,S008,223.42,13,44684.0,12,2024,2
PO000318,2024-09-02,P00218,200,S028,46.1,14,9220.0,9,2024,0
PO000319,2024-12-27,P00707,75,S029,159.86,3,11989.500000000002,12,2024,4
PO000320,2024-08-03,P00733,100,S028,93.22,6,9322.0,8,2024,5
PO000321,2024-01-29,P00531,100,S028,66.44,7,6644.0,1,2024,0
PO000322,2024-01-17,P00529,25,S045,218.95,12,5473.75,1,2024,2
PO000323,2024-12-27,P00091,25,S029,134.64,3,3365.9999999999995,12,2024,4
PO000324,2024-02-26,P00602,10,S048,60.86,4,608.6,2,2024,0
PO000325,2024-04-26,P00738,200,S008,68.64,5,13728.0,4,2024,4
PO000326,2024-07-03,P00968,50,S028,60.19,11,3009.5,7,2024,2
PO000327,2024-05-05,P00186,10,S028,126.17,13,1261.7,5,2024,6
PO000328,2024-02-18,P00219,75,S008,15.21,10,1140.75,2,2024,6
PO000329,2024-10-08,P00183,10,S029,99.75,2,997.5,10,2024,1
PO000330,2024-07-06,P00974,10,S029,32.38,9,323.8,7,2024,5
PO000331,2024-03-11,P00473,75,S029,23.39,6,1754.25,3,2024,0
PO000332,2024-03-21,P00904,75,S028,62.75,14,4706.25,3,2024,3
PO000333,2024-11-11,P00217,75,S002,58.26,4,4369.5,11,2024,0
PO000334,2024-10-12,P00182,100,S008,277.53,13,27752.999999999996,10,2024,5
PO000335,2024-01-05,P00978,100,S040,297.81,13,29781.0,1,2024,4
PO000336,2024-08-25,P00611,50,S029,45.33,7,2266.5,8,2024,6
PO000337,2024-01-06,P00631,100,S008,272.33,7,27233.0,1,2024,5
PO000338,2024-11-25,P00208,50,S029,194.92,7,9746.0,11,2024,0
PO000339,2024-04-25,P00759,50,S008,277.97,14,13898.500000000002,4,2024,3
PO000340,2024-07-01,P00137,50,S028,20.38,13,1019.0,7,2024,0
PO000341,2024-05-22,P00131,50,S008,220.06,7,11003.0,5,2024,2
PO000342,2024-05-29,P00072,25,S012,48.34,6,1208.5,5,2024,2
PO000343,2024-05-15,P00172,10,S012,18.65,5,186.5,5,2024,2
PO000344,2024-02-23,P00513,75,S028,121.82,13,9136.5,2,2024,4
PO000345,2024-01-23,P00752,75,S029,91.87,10,6890.25,1,2024,1
PO000346,2024-11-22,P00800,50,S044,258.87,4,12943.5,11,2024,4
PO000347,2024-05-29,P00814,500,S029,258.52,10,129259.99999999999,5,2024,2
PO000348,2024-03-18,P00102,75,S010,287.32,6,21549.0,3,2024,0
PO000349,2024-10-18,P00017,200,S008,230.4,6,46080.0,10,2024,4
PO000350,2024-07-11,P00281,75,S048,193.05,6,14478.75,7,2024,3
PO000351,2024-03-06,P00804,25,S046,191.94,7,4798.5,3,2024,2
PO000352,2024-07-27,P00073,500,S028,240.77,7,120385.0,7,2024,5
