id_commande,id_produit,date_retour,motif,mois
O009957,P00509,2024-12-24,Produit abîmé,2024-12
O020624,P00881,2024-03-03,Mauvaise référence,2024-03
O043587,P00175,2024-10-31,Mauvaise référence,2024-10
O028160,P00452,2024-11-01,Produit abîmé,2024-11
O015154,P00014,2024-05-29,Client insatisfait,2024-05
O006437,P00371,2024-07-29,Mauvaise référence,2024-07
O000255,P00811,2024-11-01,Livraison incomplète,2024-11
O014937,P00895,2025-01-13,Produit abîmé,2025-01
O024718,P00654,2025-01-16,Client insatisfait,2025-01
O046242,P00398,2024-10-20,Client insatisfait,2024-10
O022895,P00140,2024-12-07,Produit abîmé,2024-12
O019932,P00284,2024-11-29,Livraison incomplète,2024-11
O030618,P00396,2024-12-06,Mauvaise référence,2024-12
O011339,P00886,2024-10-10,Produit abîmé,2024-10
O042542,P00541,2024-03-11,Livraison incomplète,2024-03
O006199,P00452,2025-01-17,Produit abîmé,2025-01
O033696,P00234,2024-02-27,Client insatisfait,2024-02
O043717,P00012,2024-12-12,Mauvaise référence,2024-12
O021892,P00305,2024-06-14,Client insatisfait,2024-06
O026280,P00398,2024-11-21,Produit abîmé,2024-11
O048677,P00973,2024-04-02,Livraison incomplète,2024-04
O035592,P00184,2025-01-27,Produit abîmé,2025-01
O013273,P00284,2024-11-27,Mauvaise référence,2024-11
O022409,P00921,2025-01-16,Produit abîmé,2025-01
O031580,P00193,2024-06-11,Produit abîmé,2024-06
O033976,P00371,2024-12-25,Client insatisfait,2024-12
O040759,P00938,2024-05-12,Mauvaise référence,2024-05
O041051,P00509,2024-11-25,Produit abîmé,2024-11
O031933,P00008,2024-10-03,Mauvaise référence,2024-10
O036440,P00024,2025-01-08,Mauvaise référence,2025-01
O019197,P00143,2024-03-31,Livraison incomplète,2024-03
O043172,P00305,2024-12-26,Livraison incomplète,2024-12
O006436,P00175,2024-12-26,Client insatisfait,2024-12
O030827,P00952,2025-01-01,Client insatisfait,2025-01
O029838,P00029,2024-09-26,Livraison incomplète,2024-09
O033414,P00371,2024-08-31,Produit abîmé,2024-08
O004809,P00809,2024-12-28,Produit abîmé,2024-12
O010334,P00452,2024-06-11,Mauvaise référence,2024-06
O015959,P00811,2024-05-06,Client insatisfait,2024-05
O048848,P00463,2024-08-17,Livraison incomplète,2024-08
O012051,P00188,2024-12-14,Produit abîmé,2024-12
O028439,P00198,2024-09-16,Livraison incomplète,2024-09
O017063,P00170,2025-01-03,Mauvaise référence,2025-01
O035388,P00541,2024-10-27,Livraison incomplète,2024-10
O004122,P00188,2024-12-28,Mauvaise référence,2024-12
O042388,P00952,2024-04-17,Client insatisfait,2024-04
O021297,P00933,2024-11-14,Produit abîmé,2024-11
O049720,P00532,2024-02-07,Produit abîmé,2024-02
O029342,P00943,2024-03-03,Produit abîmé,2024-03
O011338,P00791,2024-05-03,Client insatisfait,2024-05
O036342,P00923,2024-06-07,Mauvaise référence,2024-06
O035611,P00226,2024-08-12,Produit abîmé,2024-08
O038846,P00212,2024-03-13,Client insatisfait,2024-03
O045517,P00488,2024-07-01,Produit abîmé,2024-07
O018042,P00603,2025-01-05,Produit abîmé,2025-01
O046135,P00106,2024-02-24,Client insatisfait,2024-02
O017183,P00957,2024-11-11,Produit abîmé,2024-11
O027094,P00032,2024-11-05,Produit abîmé,2024-11
O038129,P00895,2024-02-17,Livraison incomplète,2024-02
O030187,P00063,2024-07-23,Livraison incomplète,2024-07
O037421,P00396,2024-02-26,Mauvaise référence,2024-02
O026445,P00055,2024-10-27,Client insatisfait,2024-10
O024728,P00226,2025-01-08,Livraison incomplète,2025-01
O044631,P00612,2024-01-13,Livraison incomplète,2024-01
O028822,P00463,2024-12-13,Produit abîmé,2024-12
O043523,P00620,2024-11-29,Livraison incomplète,2024-11
O023655,P00610,2024-01-29,Mauvaise référence,2024-01
O028301,P00516,2024-03-04,Produit abîmé,2024-03
O019693,P00140,2024-11-23,Produit abîmé,2024-11
O034144,P00226,2024-01-12,Mauvaise référence,2024-01
O025087,P00319,2024-12-19,Produit abîmé,2024-12
O029928,P00963,2024-09-22,Mauvaise référence,2024-09
O024302,P00106,2025-01-07,Mauvaise référence,2025-01
O005586,P00136,2024-04-29,Mauvaise référence,2024-04
O023547,P00654,2024-08-09,Livraison incomplète,2024-08
O017862,P00754,2024-05-04,Produit abîmé,2024-05
O024786,P00615,2024-12-25,Client insatisfait,2024-12
O005300,P00981,2024-10-02,Livraison incomplète,2024-10
O013805,P00963,2024-12-21,Client insatisfait,2024-12
O016547,P00811,2024-10-26,Produit abîmé,2024-10
O014923,P00055,2024-12-22,Mauvaise référence,2024-12
O037391,P00414,2024-02-05,Client insatisfait,2024-02
O001250,P00143,2024-12-30,Livraison incomplète,2024-12
O025606,P00341,2024-01-16,Mauvaise référence,2024-01
O042257,P00093,2024-12-01,Client insatisfait,2024-12
O015050,P00968,2025-01-22,Produit abîmé,2025-01
O030735,P00532,2024-05-12,Client insatisfait,2024-05
O026383,P00403,2024-12-01,Livraison incomplète,2024-12
O044810,P00418,2024-09-17,Produit abîmé,2024-09
O028243,P00234,2024-01-30,Mauvaise référence,2024-01
O033901,P00039,2024-11-23,Livraison incomplète,2024-11
O007007,P00933,2024-06-11,Mauvaise référence,2024-06
O041695,P00398,2024-11-04,Produit abîmé,2024-11
O017112,P00319,2024-03-31,Client insatisfait,2024-03
O020125,P00767,2024-08-30,Livraison incomplète,2024-08
O043022,P00509,2024-03-15,Mauvaise référence,2024-03
O009456,P00876,2024-10-04,Produit abîmé,2024-10
O034932,P00233,2025-01-20,Produit abîmé,2025-01
O044752,P00810,2024-11-09,Client insatisfait,2024-11
O012510,P00933,2024-11-17,Livraison incomplète,2024-11
O007862,P00532,2024-07-13,Client insatisfait,2024-07
O003293,P00341,2025-01-08,Produit abîmé,2025-01
O048527,P00895,2024-12-26,Client insatisfait,2024-12
O011176,P00612,2024-12-16,Livraison incomplète,2024-12
O049978,P00603,2024-03-01,Produit abîmé,2024-03
O006629,P00046,2024-02-18,Mauvaise référence,2024-02
O042481,P00170,2024-12-09,Produit abîmé,2024-12
O038343,P00767,2024-01-19,Client insatisfait,2024-01
O025805,P00488,2025-01-19,Client insatisfait,2025-01
O008357,P00373,2025-01-24,Client insatisfait,2025-01
O001064,P00175,2024-10-16,Client insatisfait,2024-10
O030852,P00733,2024-04-14,Produit abîmé,2024-04
O006286,P00158,2024-01-25,Livraison incomplète,2024-01
O044132,P00175,2024-03-05,Produit abîmé,2024-03
O001678,P00414,2024-04-25,Livraison incomplète,2024-04
O039751,P00008,2025-01-13,Produit abîmé,2025-01
O030624,P00037,2024-04-08,Produit abîmé,2024-04
O004236,P00445,2024-06-24,Livraison incomplète,2024-06
O026483,P00906,2024-11-27,Client insatisfait,2024-11
O004333,P00473,2024-12-15,Livraison incomplète,2024-12
O027141,P00158,2024-12-27,Livraison incomplète,2024-12
O015303,P00604,2024-05-05,Mauvaise référence,2024-05
O035296,P00810,2024-01-20,Mauvaise référence,2024-01
O023049,P00653,2024-08-31,Client insatisfait,2024-08
O032783,P00507,2024-11-13,Mauvaise référence,2024-11
O049759,P00370,2024-01-19,Produit abîmé,2024-01
O007275,P00396,2024-04-12,Mauvaise référence,2024-04
O007098,P00957,2024-09-25,Livraison incomplète,2024-09
O037208,P00615,2024-11-29,Produit abîmé,2024-11
O005115,P00551,2024-05-28,Livraison incomplète,2024-05
O013921,P00121,2024-08-13,Produit abîmé,2024-08
O045374,P00373,2024-07-27,Livraison incomplète,2024-07
O034277,P00140,2024-12-31,Produit abîmé,2024-12
O017297,P00009,2024-12-28,Client insatisfait,2024-12
O026716,P00971,2025-01-03,Livraison incomplète,2025-01
O000643,P00011,2024-10-21,Livraison incomplète,2024-10
O040086,P00526,2024-05-23,Produit abîmé,2024-05
O004266,P00418,2024-11-05,Livraison incomplète,2024-11
O001370,P00765,2024-08-28,Client insatisfait,2024-08
O006066,P00143,2025-01-08,Livraison incomplète,2025-01
O044628,P00938,2024-10-22,Client insatisfait,2024-10
O009637,P00603,2025-01-03,Mauvaise référence,2025-01
O014161,P00357,2024-04-15,Mauvaise référence,2024-04
O001091,P00893,2024-04-12,Mauvaise référence,2024-04
O048354,P00733,2025-01-06,Client insatisfait,2025-01
O045304,P00620,2025-01-03,Client insatisfait,2025-01
O010996,P00152,2025-01-02,Produit abîmé,2025-01
O024262,P00379,2025-01-21,Livraison incomplète,2025-01
O049495,P00037,2025-01-18,Client insatisfait,2025-01
O031649,P00198,2024-02-20,Produit abîmé,2024-02
O019936,P00233,2024-02-05,Mauvaise référence,2024-02
O021022,P00654,2024-03-20,Livraison incomplète,2024-03
O013104,P00886,2024-12-17,Client insatisfait,2024-12
O008178,P00654,2024-11-13,Produit abîmé,2024-11
O043278,P00373,2024-01-27,Produit abîmé,2024-01
O047676,P00765,2024-12-18,Client insatisfait,2024-12
O031111,P00521,2024-12-22,Mauvaise référence,2024-12
O029874,P00488,2024-03-18,Produit abîmé,2024-03
O034209,P00037,2024-12-22,Client insatisfait,2024-12
O024257,P00414,2024-12-02,Client insatisfait,2024-12
O013251,P00417,2024-10-11,Produit abîmé,2024-10
O026879,P00506,2024-05-12,Livraison incomplète,2024-05
O012081,P00417,2024-08-13,Livraison incomplète,2024-08
O023747,P00658,2024-01-28,Livraison incomplète,2024-01
O042780,P00952,2024-03-10,Produit abîmé,2024-03
O039539,P00541,2025-01-15,Produit abîmé,2025-01
O021533,P00377,2024-02-26,Client insatisfait,2024-02
O012624,P00330,2024-01-22,Client insatisfait,2024-01
O025557,P00604,2024-05-21,Client insatisfait,2024-05
O025517,P00710,2025-01-08,Mauvaise référence,2025-01
O045153,P00158,2024-05-31,Mauvaise référence,2024-05
O040074,P00536,2024-01-28,Livraison incomplète,2024-01
O040102,P00355,2024-11-11,Client insatisfait,2024-11
O014795,P00620,2024-12-23,Produit abîmé,2024-12
O025466,P00921,2024-04-14,Client insatisfait,2024-04
O013659,P00014,2024-12-12,Client insatisfait,2024-12
O032312,P00558,2024-04-17,Livraison incomplète,2024-04
O009295,P00226,2024-12-05,Mauvaise référence,2024-12
O040024,P00170,2024-12-19,Client insatisfait,2024-12
O011515,P00220,2025-01-10,Produit abîmé,2025-01
O006628,P00184,2024-11-02,Livraison incomplète,2024-11
O017583,P00973,2024-08-21,Mauvaise référence,2024-08
O017463,P00055,2024-11-26,Client insatisfait,2024-11
O012116,P00968,2024-09-01,Mauvaise référence,2024-09
O002279,P00080,2024-01-10,Produit abîmé,2024-01
O036489,P00014,2024-05-04,Produit abîmé,2024-05
O000359,P00615,2024-02-25,Client insatisfait,2024-02
O032928,P00143,2024-01-29,Livraison incomplète,2024-01
O002767,P00093,2024-12-12,Livraison incomplète,2024-12
O018136,P00906,2025-01-08,Livraison incomplète,2025-01
O044836,P00452,2024-12-30,Livraison incomplète,2024-12
O046440,P00093,2024-09-25,Livraison incomplète,2024-09
O032157,P00938,2024-10-28,Client insatisfait,2024-10
O009303,P00240,2024-12-08,Mauvaise référence,2024-12
O023704,P00452,2024-05-26,Produit abîmé,2024-05
O013108,P00931,2024-03-13,Client insatisfait,2024-03
O030873,P00906,2024-09-04,Produit abîmé,2024-09
O023208,P00905,2024-10-31,Client insatisfait,2024-10
O034292,P00357,2024-12-17,Client insatisfait,2024-12
O028086,P00135,2024-07-16,Produit abîmé,2024-07
O005117,P00516,2024-02-18,Client insatisfait,2024-02
O003165,P00037,2024-12-17,Client insatisfait,2024-12
O000298,P00541,2024-02-23,Client insatisfait,2024-02
O043912,P00986,2024-12-12,Client insatisfait,2024-12
O032882,P00503,2024-11-23,Client insatisfait,2024-11
O030632,P00881,2024-12-08,Livraison incomplète,2024-12
O009471,P00738,2024-06-02,Client insatisfait,2024-06
O031602,P00398,2025-01-02,Client insatisfait,2025-01
O007051,P00413,2025-01-19,Client insatisfait,2025-01
O038985,P00810,2024-10-07,Mauvaise référence,2024-10
O003399,P00355,2024-12-12,Client insatisfait,2024-12
O041722,P00658,2024-12-25,Client insatisfait,2024-12
O008180,P00780,2024-03-14,Mauvaise référence,2024-03
O005880,P00906,2024-09-27,Mauvaise référence,2024-09
O011356,P00220,2024-12-31,Produit abîmé,2024-12
O019500,P00233,2024-05-18,Produit abîmé,2024-05
O010618,P00371,2024-01-25,Produit abîmé,2024-01
O009234,P00710,2024-12-12,Produit abîmé,2024-12
O000198,P00357,2024-02-01,Mauvaise référence,2024-02
O028637,P00873,2025-01-03,Produit abîmé,2025-01
O008111,P00658,2024-10-04,Client insatisfait,2024-10
O040579,P00688,2024-09-15,Mauvaise référence,2024-09
O028486,P00158,2024-03-13,Livraison incomplète,2024-03
O021757,P00738,2024-03-30,Client insatisfait,2024-03
O028714,P00516,2024-04-11,Livraison incomplète,2024-04
O003824,P00413,2024-11-21,Produit abîmé,2024-11
O035570,P00943,2024-10-23,Produit abîmé,2024-10
O036320,P00099,2024-02-02,Client insatisfait,2024-02
O025275,P00377,2024-12-18,Produit abîmé,2024-12
O008151,P00032,2024-04-05,Produit abîmé,2024-04
O035208,P00688,2024-03-05,Produit abîmé,2024-03
O017098,P00811,2024-11-27,Produit abîmé,2024-11
O042725,P00765,2024-11-11,Livraison incomplète,2024-11
O001087,P00305,2024-12-09,Client insatisfait,2024-12
O022680,P00615,2024-05-03,Produit abîmé,2024-05
O015244,P00377,2025-01-05,Livraison incomplète,2025-01
O020651,P00355,2024-08-16,Mauvaise référence,2024-08
O043669,P00008,2024-01-24,Client insatisfait,2024-01
O024957,P00612,2024-06-06,Client insatisfait,2024-06
O045742,P00014,2024-01-29,Mauvaise référence,2024-01
O017009,P00654,2024-12-25,Produit abîmé,2024-12
O001597,P00873,2024-11-10,Client insatisfait,2024-11
O039158,P00515,2025-01-11,Mauvaise référence,2025-01
O011278,P00330,2024-11-05,Mauvaise référence,2024-11
O026962,P00764,2024-10-06,Livraison incomplète,2024-10
O046091,P00738,2025-01-02,Mauvaise référence,2025-01
O031628,P00222,2025-01-15,Client insatisfait,2025-01
O007896,P00986,2024-12-04,Mauvaise référence,2024-12
O003984,P00330,2024-11-30,Mauvaise référence,2024-11
O008822,P00620,2024-01-08,Mauvaise référence,2024-01
O046510,P00658,2024-10-30,Client insatisfait,2024-10
O049422,P00986,2024-12-19,Mauvaise référence,2024-12
O040796,P00515,2024-12-30,Livraison incomplète,2024-12
O024824,P00671,2024-10-19,Client insatisfait,2024-10
O014082,P00691,2024-10-01,Livraison incomplète,2024-10
O009935,P00710,2024-01-08,Livraison incomplète,2024-01
O006250,P00099,2024-01-12,Client insatisfait,2024-01
O013596,P00240,2024-10-04,Mauvaise référence,2024-10
O018550,P00905,2025-01-08,Produit abîmé,2025-01
O043919,P00024,2024-11-26,Client insatisfait,2024-11
O020808,P00403,2024-09-08,Mauvaise référence,2024-09
O002197,P00046,2024-11-17,Client insatisfait,2024-11
O009989,P00948,2024-08-31,Mauvaise référence,2024-08
O008698,P00226,2024-11-28,Mauvaise référence,2024-11
O004830,P00610,2024-11-19,Produit abîmé,2024-11
O025349,P00135,2024-03-22,Client insatisfait,2024-03
O000807,P00047,2024-09-28,Client insatisfait,2024-09
O003993,P00938,2024-12-03,Client insatisfait,2024-12
O028987,P00893,2024-12-07,Livraison incomplète,2024-12
O049260,P00175,2024-04-07,Client insatisfait,2024-04
O025455,P00226,2024-04-24,Livraison incomplète,2024-04
O033230,P00222,2024-03-11,Livraison incomplète,2024-03
O007256,P00654,2024-07-28,Mauvaise référence,2024-07
O013721,P00373,2024-08-30,Livraison incomplète,2024-08
O031566,P00767,2024-10-01,Client insatisfait,2024-10
O018737,P00507,2024-12-23,Produit abîmé,2024-12
O006154,P00467,2024-04-14,Client insatisfait,2024-04
O004870,P00921,2024-01-23,Mauvaise référence,2024-01
O003170,P00526,2024-02-04,Mauvaise référence,2024-02
O020875,P00188,2025-01-12,Livraison incomplète,2025-01
O010815,P00507,2024-12-18,Mauvaise référence,2024-12
O038529,P00188,2024-12-31,Mauvaise référence,2024-12
O015416,P00403,2024-11-08,Livraison incomplète,2024-11
O029773,P00452,2024-01-14,Livraison incomplète,2024-01
O025816,P00610,2024-04-11,Mauvaise référence,2024-04
O029645,P00510,2024-11-05,Client insatisfait,2024-11
O038382,P00080,2024-11-04,Client insatisfait,2024-11
O030647,P00118,2024-09-23,Livraison incomplète,2024-09
O000496,P00136,2024-10-07,Mauvaise référence,2024-10
O023869,P00011,2024-02-22,Mauvaise référence,2024-02
O045900,P00413,2024-05-12,Client insatisfait,2024-05
O026154,P00063,2024-02-10,Livraison incomplète,2024-02
O004496,P00535,2024-09-28,Mauvaise référence,2024-09
O031531,P00957,2024-10-22,Mauvaise référence,2024-10
O029030,P00445,2025-01-08,Produit abîmé,2025-01
O022166,P00319,2024-05-23,Produit abîmé,2024-05
O020823,P00449,2024-12-22,Livraison incomplète,2024-12
O010606,P00403,2025-01-04,Produit abîmé,2025-01
O008246,P00093,2024-08-15,Produit abîmé,2024-08
O013944,P00143,2024-11-14,Mauvaise référence,2024-11
O046563,P00613,2024-04-15,Mauvaise référence,2024-04
O035855,P00516,2024-12-24,Livraison incomplète,2024-12
O015594,P00046,2025-01-17,Livraison incomplète,2025-01
O039801,P00014,2025-01-02,Livraison incomplète,2025-01
O001855,P00506,2024-10-15,Mauvaise référence,2024-10
O011992,P00080,2024-09-05,Mauvaise référence,2024-09
O000514,P00093,2024-12-15,Produit abîmé,2024-12
O023744,P00377,2024-12-05,Client insatisfait,2024-12
O024204,P00233,2024-02-29,Mauvaise référence,2024-02
O026738,P00106,2024-11-30,Livraison incomplète,2024-11
O030892,P00037,2024-12-28,Livraison incomplète,2024-12
O047770,P00535,2024-08-05,Mauvaise référence,2024-08
O036187,P00063,2024-10-15,Client insatisfait,2024-10
O047807,P00895,2025-01-12,Client insatisfait,2025-01
O009438,P00118,2025-01-19,Livraison incomplète,2025-01
O031097,P00037,2024-12-17,Livraison incomplète,2024-12
O031491,P00986,2024-01-27,Livraison incomplète,2024-01
O005467,P00839,2024-05-28,Client insatisfait,2024-05
O047269,P00080,2024-05-13,Livraison incomplète,2024-05
O008915,P00258,2025-01-12,Livraison incomplète,2025-01
O007280,P00370,2024-04-11,Produit abîmé,2024-04
O028708,P00986,2025-01-02,Mauvaise référence,2025-01
O006932,P00923,2024-09-05,Livraison incomplète,2024-09
O020151,P00002,2024-11-30,Produit abîmé,2024-11
O048751,P00615,2024-11-04,Produit abîmé,2024-11
O000126,P00063,2024-07-08,Client insatisfait,2024-07
O040096,P00149,2024-10-01,Client insatisfait,2024-10
O022198,P00710,2024-10-03,Produit abîmé,2024-10
O007044,P00413,2024-01-31,Livraison incomplète,2024-01
O019703,P00220,2024-02-29,Livraison incomplète,2024-02
O003465,P00357,2024-05-02,Client insatisfait,2024-05
O047950,P00398,2024-12-18,Client insatisfait,2024-12
O003538,P00507,2024-10-27,Client insatisfait,2024-10
O002798,P00284,2025-01-05,Produit abîmé,2025-01
O045963,P00503,2024-12-03,Produit abîmé,2024-12
O031713,P00135,2024-10-23,Mauvaise référence,2024-10
O003282,P00341,2024-05-09,Livraison incomplète,2024-05
O040512,P00002,2024-12-19,Client insatisfait,2024-12
O019828,P00876,2024-09-11,Produit abîmé,2024-09
O038697,P00250,2024-10-26,Client insatisfait,2024-10
O033353,P00943,2024-02-18,Mauvaise référence,2024-02
O011326,P00923,2024-11-19,Livraison incomplète,2024-11
O044302,P00612,2024-08-26,Livraison incomplète,2024-08
O031934,P00943,2024-12-19,Mauvaise référence,2024-12
O041621,P00220,2025-01-23,Livraison incomplète,2025-01
O040810,P00250,2024-10-20,Livraison incomplète,2024-10
O007036,P00467,2024-03-10,Mauvaise référence,2024-03
O024403,P00024,2024-10-24,Mauvaise référence,2024-10
O007260,P00099,2024-04-13,Mauvaise référence,2024-04
O007068,P00973,2024-10-22,Client insatisfait,2024-10
O000894,P00532,2024-06-02,Livraison incomplète,2024-06
O023646,P00319,2024-12-07,Mauvaise référence,2024-12
O019216,P00971,2024-09-16,Produit abîmé,2024-09
O049426,P00330,2024-02-03,Client insatisfait,2024-02
O018653,P00811,2024-10-07,Client insatisfait,2024-10
O023050,P00893,2024-11-20,Livraison incomplète,2024-11
O006684,P00780,2024-02-14,Livraison incomplète,2024-02
O002237,P00449,2025-01-21,Mauvaise référence,2025-01
O027375,P00780,2025-01-03,Mauvaise référence,2025-01
O035218,P00952,2024-03-25,Client insatisfait,2024-03
O018022,P00305,2025-01-02,Produit abîmé,2025-01
O024538,P00170,2024-12-04,Client insatisfait,2024-12
O042888,P00379,2024-05-04,Mauvaise référence,2024-05
O026641,P00011,2024-05-01,Mauvaise référence,2024-05
O047025,P00012,2024-03-26,Livraison incomplète,2024-03
O031626,P00414,2024-06-08,Produit abîmé,2024-06
O023241,P00518,2024-08-19,Produit abîmé,2024-08
O038990,P00791,2024-11-07,Livraison incomplète,2024-11
O046509,P00658,2024-02-06,Produit abîmé,2024-02
O025403,P00610,2024-03-14,Mauvaise référence,2024-03
O023995,P00212,2025-01-07,Produit abîmé,2025-01
O039322,P00118,2024-11-05,Produit abîmé,2024-11
O014926,P00184,2024-02-05,Mauvaise référence,2024-02
O022500,P00105,2025-01-05,Livraison incomplète,2025-01
O017406,P00449,2024-05-31,Client insatisfait,2024-05
O022357,P00873,2024-05-07,Livraison incomplète,2024-05
O031953,P00336,2024-12-31,Produit abîmé,2024-12
O029654,P00377,2024-12-18,Produit abîmé,2024-12
O043303,P00535,2024-04-11,Mauvaise référence,2024-04
O003132,P00305,2024-02-29,Mauvaise référence,2024-02
O033879,P00541,2024-02-15,Produit abîmé,2024-02
O012309,P00403,2024-12-03,Mauvaise référence,2024-12
O024751,P00971,2024-12-06,Produit abîmé,2024-12
O030074,P00893,2024-09-12,Mauvaise référence,2024-09
O021949,P00738,2024-06-21,Client insatisfait,2024-06
O004190,P00876,2024-03-25,Livraison incomplète,2024-03
O007072,P00063,2024-09-28,Mauvaise référence,2024-09
O009758,P00099,2024-11-12,Livraison incomplète,2024-11
O030204,P00767,2024-02-16,Livraison incomplète,2024-02
O002911,P00688,2024-10-20,Client insatisfait,2024-10
O000698,P00521,2024-08-29,Mauvaise référence,2024-08
O029511,P00143,2025-01-15,Mauvaise référence,2025-01
O015093,P00149,2024-09-06,Mauvaise référence,2024-09
O027868,P00175,2024-10-07,Livraison incomplète,2024-10
O030134,P00509,2024-11-29,Livraison incomplète,2024-11
O030904,P00516,2024-10-30,Livraison incomplète,2024-10
O020816,P00653,2024-01-30,Livraison incomplète,2024-01
O017108,P00445,2024-11-05,Client insatisfait,2024-11
O047488,P00610,2024-12-23,Client insatisfait,2024-12
O040311,P00551,2024-09-30,Produit abîmé,2024-09
O014948,P00226,2024-07-21,Mauvaise référence,2024-07
O042306,P00810,2024-12-17,Livraison incomplète,2024-12
O026820,P00413,2024-11-18,Produit abîmé,2024-11
O048123,P00604,2024-03-20,Client insatisfait,2024-03
O014072,P00357,2025-01-07,Produit abîmé,2025-01
O009132,P00521,2025-01-02,Produit abîmé,2025-01
O008414,P00612,2024-10-24,Livraison incomplète,2024-10
O022242,P00009,2024-06-23,Mauvaise référence,2024-06
O038964,P00011,2025-01-24,Mauvaise référence,2025-01
O003695,P00963,2024-09-30,Client insatisfait,2024-09
O045390,P00957,2024-12-02,Produit abîmé,2024-12
